company_name,rank,website,policy_url
American Airlines Group ,68,http://www.aa.com,https://www.aa.com/i18n/customer-service/support/privacy-policy.jsp
Delta Air Lines ,69,http://www.delta.com,http://www.delta.com/us/en/legal/privacy-and-security
Charter Communications ,70,http://www.charter.com,https://www.spectrum.com/policies/your-privacy-rights.html
New York Life Insurance ,71,http://www.newyorklife.com,https://www.newyorklife.com/about/privacy/nyl-online-privacy-policy
American Express ,72,http://www.americanexpress.com,https://www.americanexpress.com/us/privacy-center/?inav=footer_privacy_statement
Nationwide ,73,http://www.nationwide.com,https://www.nationwide.com/personal/privacy-security/pages/privacy
Best Buy ,74,http://www.bestbuy.com,"https://www.bestbuy.com/site/help-topics/privacy-policy/pcmcat204400050062.c?id=pcmcat204400050062
"
Liberty Mutual Insurance Group ,75,http://www.libertymutual.com,https://www.libertymutualgroup.com/general/about-lm/corporate-information/website
Merck ,76,http://www.merck.com,https://www.msdprivacy.com/us/en/index.html
Honeywell International ,77,http://www.honeywell.com,http://www.honeywell.com/en-us/privacy-statement
United Continental Holdings ,78,http://www.united.com,"https://www.united.com/ual/en/us/fly/privacy.html
"
TIAA ,79,http://www.tiaa.org,https://policies.google.com/privacy
Tyson Foods ,80,http://www.tysonfoods.com,http://www.tysonfoods.com/privacy-policy
Oracle ,81,http://www.oracle.com,https://www.oracle.com/legal/privacy/privacy-policy.html
Allstate ,82,http://www.allstate.com,https://www.allstate.com/about/privacy-statement-aic.aspx
World Fuel Services ,83,http://www.wfscorp.com,https://www.wfscorp.com/en/privacy-notice
Massachusetts Mutual Life Insurance ,84,http://www.massmutual.com,https://www.massmutual.com/legal/privacy-policy
TJX ,85,http://www.tjx.com,http://www.tjx.com/privacy
ConocoPhillips ,86,http://www.conocophillips.com,http://www.conocophillips.com/privacy-statement/
Deere ,87,http://www.johndeere.com,http://www.johndeere.com/en/privacy-and-data/
Tech Data ,88,http://www.techdata.com,https://tdcontent.techdata.com/content/visitor/abouttd/privacy.aspx
Enterprise Products Partners ,89,http://www.enterpriseproducts.com,http://www.enterpriseproducts.com/privacy-policy
Nike ,90,http://www.nike.com,https://agreementservice.svs.nike.com/rest/agreement?agreementType=privacyPolicy&uxId=com.nike.unite&country=US&language=en&requestType=redirect
Publix Super Markets ,91,http://www.publix.com,https://ww4.publix.com/publix-website-policies
General Dynamics ,92,http://www.generaldynamics.com,https://www.gd.com/privacy-policy
Exelon ,93,http://www.exeloncorp.com,https://www.exeloncorp.com/privacy-policy
Plains GP Holdings ,94,http://www.plainsallamerican.com,http://www.plainsallamerican.com/privacy-policy
3M ,95,http://www.3m.com,http://www.3m.com/3m/en_us/company-us/privacy-policy/
AbbVie ,96,http://www.abbvie.com,http://www.abbvie.com/privacy.html
CHS ,97,http://www.chsinc.com,http://www.chsinc.com/privacy-policy
Capital One Financial ,98,http://www.capitalone.com,https://www.capitalone.com/privacy/online-privacy-policy
Progressive ,99,http://www.progressive.com,https://www.progressive.com/privacy/
Coca-Cola ,100,http://www.coca-colacompany.com,https://us.coca-cola.com/privacy-policy/#privacy
USAA ,101,http://www.usaa.com,https://www.usaa.com/inet/pages/security_protect_your_personal_information?tab=3
Hewlett Packard Enterprise ,102,http://www.hpe.com,https://www.hpe.com/us/en/legal/privacy.html
Abbott Laboratories ,103,http://www.abbott.com,http://www.abbott.com/privacy-policy.html
Twenty-First Century Fox ,104,http://www.thewaltdisneycompany.com,https://disneyprivacycenter.com/
Micron Technology ,105,http://www.micron.com,http://www.micron.com/privacy
Travelers ,106,http://www.travelers.com,http://www.travelers.com/privacy-statements/index.aspx
Rite Aid ,107,http://www.riteaid.com,https://www.riteaid.com/legal/privacy-policy
Northrop Grumman ,108,http://www.northropgrumman.com,https://www.northropgrumman.com/who-we-are/privacy-policy/
Arrow Electronics ,109,http://www.arrow.com,http://www.arrow.com/en/legal/privacy-policy
Philip Morris International ,110,http://www.pmi.com,https://pmiprivacy.com/en/consumer
Northwestern Mutual ,111,http://www.northwesternmutual.com,https://www.northwesternmutual.com/online-privacy-statement/
INTL FCStone ,112,http://www.intlfcstone.com,http://www.intlfcstone.com/terms-of-use/
PBF Energy ,113,http://www.pbfenergy.com,https://www.pbfenergy.com/privacy-statement/
Raytheon ,114,http://www.raytheon.com,http://www.raytheon.com/legal/privacy/
Kraft Heinz ,115,http://www.kraftheinzcompany.com,https://www.kraftheinzcompany.com/newprivacypolicy.html
Mondelez International ,116,http://www.mondelezinternational.com,http://www.mondelezinternational.com/privacy-policy
U.S. Bancorp ,117,http://www.usbank.com,https://www.usbank.com/about-us-bank/privacy/security.html
Macy’s ,118,http://www.macysinc.com,http://www.macysinc.com/privacy-policy
Dollar General ,119,http://www.dollargeneral.com,http://www.dollargeneral.com/privacy-policy
Nucor ,120,http://www.nucor.com,http://www.nucor.com/privacy
Starbucks ,121,http://www.starbucks.com,https://www.starbucks.com/about-us/company-information/online-policies/privacy-policy
DXC Technology ,122,http://www.dxc.technology,http://www.dxc.technology/privacy
Eli Lilly ,123,http://www.lilly.com,http://www.lilly.com/privacy
Thermo Fisher Scientific ,124,http://www.thermofisher.com,https://www.thermofisher.com/us/en/home/global/privacy-policy.html
US Foods Holding ,125,http://www.usfoods.com,https://www.usfoods.com/content/dam/usf/EC/documents/privacypolicy.html
